Epoch,Time,Train/box_loss,Train/cls_loss,Train/dfl_loss,Metrics/precision(B),Metrics/recall(B),Metrics/mAP50(B),Metrics/mAP50-95(B),Val/box_loss,Val/cls_loss,Val/dfl_loss,LR/pg0
1,845.3280117511749,0.20199771225452423,0.19080103933811188,0.01774008572101593,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
2,856.3720836639404,0.17605915665626526,0.10523759573698044,0.004098163917660713,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
3,854.1438753604889,0.16698485612869263,0.09931173920631409,0.017127208411693573,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
4,842.6152024269104,0.17385174334049225,0.0692613497376442,0.006827376317232847,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
5,870.6418585777283,0.11548685282468796,0.05732366815209389,0.002155185677111149,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
6,866.9467644691467,0.10574796050786972,0.05686293914914131,0.002126673236489296,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
7,870.958587884903,0.11187446862459183,0.04886985942721367,0.001139542437158525,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
8,852.2344019412994,0.07152952998876572,0.038535669445991516,0.0020794514566659927,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
9,4523.588971614838,0.08712475746870041,0.03907890245318413,0.0015272821765393019,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
10,866.8480718135834,0.068700410425663,0.032250966876745224,0.0033800562378019094,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
11,904.7351253032684,0.05884348228573799,0.03302089869976044,0.0017235528212040663,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
12,873.882003068924,0.057540200650691986,0.032037317752838135,0.0003791341441683471,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
13,869.6935143470764,0.04327371343970299,0.02188136987388134,0.001031889347359538,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
14,872.0927395820618,0.042883411049842834,0.03125094994902611,0.0017122954595834017,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
15,881.1747386455536,0.043485477566719055,0.027418605983257294,0.0012890830403193831,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
16,871.0282402038574,0.05208952724933624,0.025831423699855804,0.0021101408638060093,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
17,872.3838677406311,0.03683171048760414,0.020041869953274727,0.0015849879710003734,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
18,865.4294211864471,0.027878105640411377,0.01929066702723503,0.0005058422102592885,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
19,871.9499115943909,0.030165856704115868,0.019895967096090317,0.0003596117894630879,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
20,875.0860388278961,0.025795184075832367,0.0195686686784029,0.00025913884746842086,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
21,874.9421010017395,0.030679769814014435,0.020194722339510918,0.00040971479029394686,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
22,876.1060621738434,0.03146863356232643,0.018516505137085915,0.00036878592800348997,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
23,873.2730503082275,0.03698212653398514,0.01570558361709118,0.0004913456505164504,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
24,876.5094294548035,0.029556643217802048,0.015853991732001305,0.0008705487125553191,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
25,875.4042701721191,0.02892361767590046,0.018823470920324326,0.00039061057032085955,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
26,873.8071420192719,0.03717680647969246,0.019019724801182747,0.00044695206452161074,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
27,868.2620587348938,0.032144125550985336,0.01749366708099842,0.0006417837576009333,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
28,884.4099590778351,0.025776643306016922,0.018472963944077492,0.0010787079809233546,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
29,879.7552206516266,0.03252343088388443,0.028307633474469185,0.0015058431308716536,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
30,872.0751385688782,0.020976796746253967,0.015102142468094826,0.00026413376326672733,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
31,873.58278632164,0.019180666655302048,0.014402102679014206,0.0014408542774617672,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
32,874.2075035572052,0.020124297589063644,0.015245441347360611,0.000423464021878317,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
33,877.5957877635956,0.017666874453425407,0.016856295987963676,0.0008819649228826165,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
34,852.9421243667603,0.01780736818909645,0.013036814518272877,0.00029416554025374353,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
35,874.1074812412262,0.022861607372760773,0.013493139296770096,0.0003166148962918669,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
36,857.3031647205353,0.018099253997206688,0.014136993326246738,0.0008006160496734083,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
37,876.5671420097351,0.015982622280716896,0.01455317996442318,0.00028073525754734874,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
38,874.2089831829071,0.014264351688325405,0.01347488071769476,0.0004107854620087892,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
39,852.215434551239,0.01807166263461113,0.013858689926564693,0.0001520150835858658,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
40,887.4240646362305,0.016238899901509285,0.012438937090337276,0.00023664580658078194,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
41,879.2297973632812,0.01413341797888279,0.012105148285627365,0.0007144082337617874,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
42,864.56094789505,0.01935472898185253,0.014033157378435135,0.00044180647819302976,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
43,866.7227849960327,0.01330745592713356,0.010241658426821232,0.00021995427960064262,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
44,2084.352161884308,0.014726161025464535,0.011302035301923752,0.00043680929229594767,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
45,896.2204763889313,0.014985098503530025,0.01337676402181387,0.00016612940817140043,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
46,897.0655529499054,0.01644681580364704,0.013919559307396412,9.900241275317967e-05,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
47,876.1444962024689,0.022826118394732475,0.014383695088326931,0.0012848898768424988,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
48,1169.7365350723267,0.01499843504279852,0.015459907241165638,0.0018556014401838183,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
49,883.0201110839844,0.014248544350266457,0.01181392464786768,0.0002741331700235605,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
50,894.8075442314148,0.016156362369656563,0.011895007453858852,0.0007051886641420424,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
