Epoch,Time,Train/box_loss,Train/cls_loss,Metrics/precision(B),Metrics/recall(B),Metrics/mAP50(B),Metrics/mAP50-95(B),Val/box_loss,Val/cls_loss,LR/pg0
1,723.9812760353088,0.646816611289978,1.1371623277664185,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
2,791.5632116794586,0.6253917217254639,1.1349356174468994,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
3,713.8733665943146,0.6547299027442932,1.1329421997070312,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
4,717.6892313957214,0.7471160888671875,1.132677674293518,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
5,719.7151689529419,0.6426100134849548,1.1299270391464233,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
6,708.9914073944092,0.6132050156593323,1.1288785934448242,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
7,698.9734089374542,0.6078771948814392,1.1256964206695557,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
8,698.0151844024658,0.6052747368812561,1.124522089958191,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
9,702.6963138580322,0.5724295377731323,1.1200850009918213,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
10,700.6769690513611,0.5803321599960327,1.1123614311218262,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
11,703.8214037418365,0.5831976532936096,1.0962954759597778,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
12,703.4940929412842,0.5405431985855103,1.0021525621414185,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
13,702.4934034347534,0.5488755702972412,1.0035269260406494,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
14,702.8775906562805,0.5905536413192749,0.8940518498420715,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
15,716.8237602710724,0.6544170379638672,0.6086599230766296,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
16,725.6524167060852,0.5760869383811951,0.5424139499664307,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
17,736.4273672103882,0.5667080283164978,0.48413747549057007,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
18,735.5407733917236,0.5104404091835022,0.49724695086479187,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
19,735.1899123191833,0.5104065537452698,0.4656372368335724,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
20,735.6512024402618,0.4990798234939575,0.47377872467041016,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
21,738.8865149021149,0.540975034236908,0.4649670720100403,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
22,741.3576674461365,0.5074872374534607,0.4452175498008728,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
23,725.9162344932556,0.5072421431541443,0.4524468183517456,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,0.001
